scenario	m_flux	n_cells	replicates_per_cell	reps	n_called	trend_p
single-event	0.0	12	120	1440	0	3.887988254612312e-11
single-event	1e-08	12	120	1440	0	3.887988254612312e-11
single-event	1e-07	12	120	1440	3	3.887988254612312e-11
single-event	1e-06	12	120	1440	25	3.887988254612312e-11
recurrent	0.0	12	120	1440	972	0.44560053289767665
recurrent	1e-08	12	120	1440	1000	0.44560053289767665
recurrent	1e-07	12	120	1440	994	0.44560053289767665
recurrent	1e-06	12	120	1440	994	0.44560053289767665
