scenario,depth,rho,m_flux,reps,recurrent_call_rate,recurrent_call_rate_conditional,n_endpoint,mean_events,median_events
single,recent,0.0,1e-08,60,0.43333333333333335,0.43333333333333335,0,1.5,1.0
single,recent,0.0,1e-07,60,0.43333333333333335,0.43333333333333335,0,1.45,1.0
single,recent,0.0,1e-06,60,0.43333333333333335,0.43333333333333335,0,1.4833333333333334,1.0
single,recent,1e-08,0.0,60,0.26666666666666666,0.26666666666666666,0,1.3333333333333333,1.0
single,recent,1e-08,1e-09,60,0.31666666666666665,0.31666666666666665,0,1.4166666666666667,1.0
single,recent,1e-08,1e-08,60,0.25,0.25,0,1.35,1.0
single,recent,1e-08,1e-07,60,0.3,0.3,0,1.4,1.0
single,recent,1e-08,1e-06,60,0.4166666666666667,0.4166666666666667,0,1.6333333333333333,1.0
single,recent,1e-06,0.0,60,0.0,0.0,0,1.0,1.0
single,recent,1e-06,1e-09,60,0.0,0.0,0,1.0,1.0
single,recent,1e-06,1e-08,60,0.0,0.0,0,1.0,1.0
single,recent,1e-06,1e-07,60,0.0,0.0,0,1.0,1.0
single,recent,1e-06,1e-06,60,0.0,0.0,0,1.0,1.0
single,young,0.0,0.0,60,0.11666666666666667,0.11666666666666667,0,1.1166666666666667,1.0
single,young,0.0,1e-09,60,0.08333333333333333,0.08333333333333333,0,1.0833333333333333,1.0
single,young,0.0,1e-08,60,0.1,0.1,0,1.1,1.0
single,young,0.0,1e-07,60,0.15,0.15,0,1.15,1.0
single,young,0.0,1e-06,60,0.18333333333333332,0.18333333333333332,0,1.2166666666666666,1.0
single,young,1e-08,0.0,60,0.03333333333333333,0.03333333333333333,0,1.0333333333333334,1.0
single,young,1e-08,1e-09,60,0.016666666666666666,0.016666666666666666,0,1.0166666666666666,1.0
single,young,1e-08,1e-08,60,0.0,0.0,0,1.0,1.0
single,young,1e-08,1e-07,60,0.0,0.0,0,1.0,1.0
single,young,1e-08,1e-06,60,0.1,0.1,0,1.1,1.0
single,young,1e-06,0.0,60,0.0,0.0,0,1.0,1.0
single,young,1e-06,1e-09,60,0.0,0.0,0,1.0,1.0
single,young,1e-06,1e-08,60,0.0,0.0,0,1.0,1.0
single,young,1e-06,1e-07,60,0.0,0.0,0,1.0,1.0
single,young,1e-06,1e-06,60,0.0,0.0,0,1.0,1.0
