A	B	diff_logit	se_logit	z_value	p_value	diff_prob	diff_prob_lcl95	diff_prob_ucl95	q_value_fdr	model
Recurrent/Direct	Single/Inverted	-3.3812614037203574	1.2027668912207594	-2.811235849939729	0.004935159537548861	-0.21828239408849404	-0.3900300571467582	-0.04653473103022984	0.014805478612646583	adjusted
Recurrent/Inverted	Single/Inverted	-3.6264328256699945	1.2008689868306104	-3.019840520022959	0.0025290781712372645	-0.26430436651968514	-0.42823012587692866	-0.1003786071624416	0.014805478612646583	adjusted
Single/Direct	Single/Inverted	-3.191750990554851	1.1991734681861055	-2.6616257574333755	0.007776428593101681	-0.18662597582736284	-0.36069831030589694	-0.01255364134882872	0.015552857186203362	adjusted
Recurrent/Direct	Recurrent/Inverted	0.24517142194963704	0.16344346357907175	1.5000380962376412	0.13360453455346466	0.046021972431191105	-0.006910877097962731	0.09895482196034494	0.1603254414641576	adjusted
Recurrent/Inverted	Single/Direct	-0.4346818351151436	0.2818598812085068	-1.5421912237080175	0.12302713213293215	-0.0776783906923223	-0.16162672444422516	0.006269943059580563	0.1603254414641576	adjusted
Recurrent/Direct	Single/Direct	-0.18951041316550643	0.2863007670841844	-0.6619277171191876	0.5080175474370501	-0.03165641826113119	-0.12256928349011201	0.059256446967849624	0.5080175474370501	adjusted
