consensus	phy_group	category	z_hat	se_z	p_hat	p_lcl95	p_ucl95	model
0	1	Single/Inverted	4.599544800503882	1.2188524002833945	0.9900437121595049	0.9011968383866081	0.9990784168145687	adjusted
0	0	Single/Direct	1.4077938099489047	0.5781476157880313	0.8034177363321396	0.5682278546375198	0.9269640593952331	adjusted
1	0	Recurrent/Direct	1.218283396783399	0.5094329128398077	0.7717613180710085	0.5547285719364666	0.9017455556147395	adjusted
1	1	Recurrent/Inverted	0.9731119748337621	0.42917828612064773	0.7257393456398173	0.5329328849180601	0.8598809360960635	adjusted
