consensus	phy_group	category	z_hat	se_z	p_hat	p_lcl95	p_ucl95	model
0	1	Single/Inverted	4.486011204126459	1.1050622879621506	0.9888600074263829	0.9105272012855163	0.9987101430755493	no_covariates
1	1	Recurrent/Inverted	1.3582201912757497	0.2051632112139302	0.7954702798931857	0.7223403407051467	0.8532522483582715	no_covariates
0	0	Single/Direct	1.2012151124799006	0.11714121499980888	0.7687408747194321	0.7254419479569635	0.8070277867169994	no_covariates
1	0	Recurrent/Direct	1.1700426737911784	0.2459434225810859	0.7631527291285896	0.665520436881857	0.8391735603710776	no_covariates
