metric	group	n	median_flank	median_middle	median_flank_minus_middle	wilcoxon_stat	wilcoxon_p
da	Overall	29	0.02642015887850467	0.0273165625	-0.0008387860169491525	181.0	0.44202057644724846
da	Single-event	10	0.049277025409130065	0.07906428856433753	-0.012640725309047758	21.0	0.556640625
da	Recurrent	19	0.0038095340909090904	0.004589439024390243	-0.0007799049334811527	85.0	0.70855712890625
da	Recurrent_vs_Single_diff	29				106.0	0.629967182435291
dxy	Overall	29	0.15777766666666668	0.1690447909090909	-0.003980162679425858	184.0	0.48119615763425827
dxy	Single-event	10	0.15521983070767692	0.1760816738050609	-0.016370807796782107	18.0	0.375
dxy	Recurrent	19	0.15777766666666668	0.16405421739130432	0.0031469044289043624	94.0	0.9843215942382812
dxy	Recurrent_vs_Single_diff	29				111.0	0.4769672635392853
