scenario,label,depth,rho,m_flux,inv_freq,sample_size,seed,tree_n_events,call_recurrent,n_sites,error,frac_admix_d,frac_admix_i,secs
single,0,young,0.0,0.0,0.1,240,10013,2,1,412,,0.0,1.0,36.7
single,0,young,0.0,1e-06,0.1,240,10245,2,1,282,,0.0,1.0,51.1
single,0,young,0.0,1e-06,0.1,240,10269,1,0,265,,0.0,1.0,52.1
single,0,young,0.0,1e-07,0.1,240,10213,1,0,267,,0.0,1.0,52.9
single,0,young,0.0,1e-07,0.1,240,10189,1,0,352,,0.0,1.0,53.8
single,0,young,0.0,0.0,0.1,240,10021,1,0,316,,0.0,1.0,53.8
single,0,young,0.0,1e-07,0.1,240,10229,1,0,285,,0.0,1.0,54.0
single,0,young,0.0,1e-07,0.1,240,10205,2,1,298,,0.0,1.0,54.1
single,0,young,0.0,0.0,0.1,240,10029,1,0,337,,0.0,1.0,54.2
single,0,young,0.0,1e-06,0.1,240,10261,1,0,267,,0.0,1.0,55.5
single,0,young,0.0,1e-08,0.1,240,10173,2,1,453,,0.0,1.0,56.9
single,0,young,0.0,1e-09,0.1,240,10093,1,0,409,,0.0,1.0,57.3
single,0,young,0.0,1e-08,0.1,240,10157,1,0,318,,0.0,1.0,57.5
single,0,young,0.0,1e-09,0.1,240,10077,1,0,357,,0.0,1.0,57.9
single,0,young,0.0,1e-08,0.1,240,10125,2,1,396,,0.0,1.0,58.4
single,0,young,0.0,0.0,0.1,240,10045,1,0,400,,0.0,1.0,58.5
single,0,young,0.0,1e-06,0.1,240,10293,1,0,377,,0.0,1.0,59.0
single,0,young,0.0,1e-09,0.1,240,10061,1,0,385,,0.0,1.0,59.5
single,0,young,0.0,1e-09,0.1,240,10069,1,0,380,,0.0,1.0,59.5
single,0,young,0.0,1e-06,0.1,240,10285,1,0,362,,0.0,1.0,60.3
single,0,young,0.0,1e-06,0.1,240,10253,1,0,403,,0.0,1.0,60.4
single,0,young,0.0,1e-06,0.1,240,10277,1,0,342,,0.0,1.0,60.5
