scenario,label,depth,rho,m_flux,inv_freq,sample_size,seed,tree_n_events,call_recurrent,n_sites,error,frac_admix_d,frac_admix_i,secs
single,0,young,0.0,1e-09,0.1,240,10118,1,0,288,,0.0,1.0,44.3
single,0,young,0.0,1e-09,0.1,240,10110,1,0,241,,0.0,1.0,44.4
single,0,young,0.0,0.0,0.1,240,10006,1,0,312,,0.0,1.0,45.9
single,0,young,0.0,1e-06,0.1,240,10254,1,0,243,,0.0,1.0,47.0
single,0,young,0.0,1e-08,0.1,240,10142,1,0,332,,0.0,1.0,47.1
single,0,young,0.0,0.0,0.1,240,10014,1,0,409,,0.0,1.0,49.4
single,0,young,0.0,1e-08,0.1,240,10150,1,0,367,,0.0,1.0,51.1
single,0,young,0.0,1e-06,0.1,240,10262,1,0,392,,0.0,1.0,55.5
single,0,young,0.0,1e-09,0.1,240,10086,1,0,273,,0.0,1.0,57.0
single,0,young,0.0,1e-09,0.1,240,10062,1,0,440,,0.0,1.0,57.3
single,0,young,0.0,0.0,0.1,240,10054,1,0,338,,0.0,1.0,57.3
single,0,young,0.0,1e-07,0.1,240,10230,1,0,330,,0.0,1.0,58.0
single,0,young,0.0,1e-08,0.1,240,10126,1,0,289,,0.0,1.0,58.4
single,0,young,0.0,1e-06,0.1,240,10246,1,0,355,,0.0,1.0,58.5
single,0,young,0.0,0.0,0.1,240,10046,1,0,312,,0.0,1.0,58.7
single,0,young,0.0,1e-08,0.1,240,10158,1,0,315,,0.0,1.0,60.1
single,0,young,0.0,1e-07,0.1,240,10222,2,1,339,,0.0,1.0,61.0
single,0,young,0.0,1e-07,0.1,240,10190,1,0,342,,0.0,1.0,61.2
single,0,young,0.0,1e-06,0.1,240,10278,1,0,338,,0.0,1.0,61.7
single,0,young,0.0,1e-09,0.1,240,10094,1,0,343,,0.0,1.0,63.0
single,0,young,0.0,1e-08,0.1,240,10134,1,0,413,,0.0,1.0,63.4
single,0,young,0.0,1e-09,0.1,240,10070,1,0,360,,0.0,1.0,63.8
single,0,young,0.0,0.0,0.1,240,10022,1,0,488,,0.0,1.0,65.4
single,0,young,0.0,1e-06,0.1,240,10270,1,0,404,,0.0,1.0,66.7
single,0,young,0.0,1e-08,0.1,240,10166,1,0,435,,0.0,1.0,67.7
single,0,young,0.0,1e-07,0.1,240,10214,1,0,433,,0.0,1.0,67.8
single,0,young,0.0,1e-07,0.1,240,10238,1,0,381,,0.0,1.0,68.2
single,0,young,0.0,1e-09,0.1,240,10078,1,0,515,,0.0,1.0,68.3
single,0,young,0.0,1e-07,0.1,240,10198,1,0,438,,0.0,1.0,69.9
single,0,young,0.0,0.0,0.1,240,10030,1,0,494,,0.0,1.0,70.2
single,0,young,0.0,1e-06,0.1,240,10294,1,0,493,,0.0,1.0,70.3
single,0,young,0.0,1e-06,0.1,240,10286,1,0,389,,0.0,1.0,70.4
single,0,young,0.0,1e-07,0.1,240,10206,1,0,403,,0.0,1.0,70.5
single,0,young,0.0,0.0,0.1,240,10038,1,0,464,,0.0,1.0,70.8
single,0,young,0.0,1e-09,0.1,240,10102,1,0,632,,0.0,1.0,71.4
single,0,young,0.0,1e-08,0.1,240,10174,1,0,416,,0.0,1.0,74.9
single,0,young,0.0,1e-07,0.1,240,10182,2,1,487,,0.0,1.0,77.5
single,0,young,1e-08,0.0,0.1,240,10326,1,0,311,,0.0,1.0,152.1
single,0,young,1e-08,1e-06,0.1,240,10558,1,0,380,,0.0,1.0,138.2
single,0,young,1e-08,1e-07,0.1,240,10526,1,0,355,,0.0,1.0,160.6
single,0,young,1e-08,1e-07,0.1,240,10494,1,0,377,,0.0,1.0,206.3
single,0,young,1e-08,1e-08,0.1,240,10446,1,0,341,,0.0,1.0,233.4
single,0,young,1e-08,1e-06,0.1,240,10590,1,0,347,,0.0,1.0,205.8
single,0,young,1e-08,1e-07,0.1,240,10518,1,0,401,,0.0,1.0,228.0
single,0,young,1e-08,1e-09,0.1,240,10390,1,0,430,,0.0,1.0,286.5
single,0,young,1e-08,1e-06,0.1,240,10542,1,0,371,,0.0,1.0,264.4
single,0,young,1e-08,0.0,0.1,240,10358,1,0,385,,0.0,1.0,384.1
single,0,young,1e-08,0.0,0.1,240,10310,1,0,358,,0.0,1.0,391.1
single,0,young,1e-08,1e-07,0.1,240,10502,1,0,340,,0.0,1.0,401.3
single,0,young,1e-08,1e-09,0.1,240,10414,1,0,405,,0.0,1.0,417.1
single,0,young,1e-08,1e-09,0.1,240,10382,1,0,381,,0.0,1.0,430.3
single,0,young,1e-08,1e-07,0.1,240,10534,1,0,416,,0.0,1.0,404.9
single,0,young,1e-08,1e-08,0.1,240,10430,1,0,415,,0.0,1.0,451.5
single,0,recent,0.0,0.0,0.1,240,10902,2,1,372,,0.0,1.0,51.1
single,0,young,1e-08,1e-06,0.1,240,10598,2,1,370,,0.0,1.0,402.2
single,0,recent,0.0,0.0,0.1,240,10910,2,1,275,,0.0,1.0,47.1
single,0,young,1e-08,1e-08,0.1,240,10470,1,0,388,,0.0,1.0,465.9
single,0,young,1e-08,0.0,0.1,240,10342,1,0,374,,0.0,1.0,468.2
single,0,recent,0.0,0.0,0.1,240,10918,2,1,268,,0.0,1.0,45.7
single,0,young,1e-08,1e-07,0.1,240,10510,1,0,400,,0.0,1.0,483.0
single,0,young,1e-08,1e-08,0.1,240,10462,1,0,396,,0.0,1.0,486.3
single,0,young,1e-08,0.0,0.1,240,10302,1,0,396,,0.0,1.0,486.5
single,0,recent,0.0,0.0,0.1,240,10926,1,0,403,,0.0,1.0,37.4
single,0,young,1e-08,0.0,0.1,240,10318,1,0,433,,0.0,1.0,490.3
single,0,young,1e-08,1e-07,0.1,240,10486,1,0,401,,0.0,1.0,506.5
single,0,young,1e-08,1e-09,0.1,240,10398,1,0,403,,0.0,1.0,510.2
single,0,recent,0.0,0.0,0.1,240,10950,1,0,372,,0.0,1.0,51.5
single,0,recent,0.0,0.0,0.1,240,10942,2,1,431,,0.0,1.0,58.8
single,0,recent,0.0,1e-09,0.1,240,10974,2,1,330,,0.0,1.0,45.3
single,0,young,1e-08,1e-08,0.1,240,10422,1,0,391,,0.0,1.0,513.7
single,0,recent,0.0,1e-09,0.1,240,10966,2,1,277,,0.0,1.0,48.4
single,0,recent,0.0,0.0,0.1,240,10934,2,1,421,,0.0,1.0,63.0
single,0,young,1e-08,1e-06,0.1,240,10566,1,0,393,,0.0,1.0,468.1
single,0,recent,0.0,0.0,0.1,240,10958,2,1,385,,0.0,1.0,57.2
single,0,recent,0.0,1e-09,0.1,240,10998,1,0,435,,0.0,1.0,40.7
single,0,recent,0.0,1e-09,0.1,240,11014,1,0,415,,0.0,1.0,40.9
single,0,recent,0.0,1e-09,0.1,240,10982,2,1,399,,0.0,1.0,53.3
single,0,young,1e-08,0.0,0.1,240,10334,1,0,364,,0.0,1.0,531.9
single,0,recent,0.0,1e-09,0.1,240,11006,1,0,411,,0.0,1.0,54.4
single,0,recent,0.0,1e-09,0.1,240,10990,2,1,435,,0.0,1.0,58.0
single,0,recent,0.0,1e-08,0.1,240,11022,2,1,436,,0.0,1.0,51.1
single,0,young,1e-08,1e-08,0.1,240,10438,1,0,357,,0.0,1.0,546.9
single,0,young,1e-08,1e-08,0.1,240,10454,1,0,452,,0.0,1.0,548.2
single,0,recent,0.0,1e-08,0.1,240,11054,3,1,225,,0.0,1.0,42.8
single,0,recent,0.0,1e-08,0.1,240,11062,2,1,371,,0.0,1.0,41.0
single,0,recent,0.0,1e-08,0.1,240,11038,2,1,315,,0.0,1.0,46.9
single,0,recent,0.0,1e-08,0.1,240,11070,2,1,255,,0.0,1.0,44.9
single,0,recent,0.0,1e-08,0.1,240,11030,3,1,397,,0.0,1.0,52.8
single,0,recent,0.0,1e-08,0.1,240,11046,1,0,354,,0.0,1.0,51.4
single,0,recent,0.0,1e-07,0.1,240,11094,1,0,302,,0.0,1.0,44.5
single,0,recent,0.0,1e-08,0.1,240,11078,2,1,380,,0.0,1.0,51.4
single,0,recent,0.0,1e-07,0.1,240,11102,2,1,320,,0.0,1.0,45.4
single,0,young,1e-08,1e-06,0.1,240,10574,1,0,380,,0.0,1.0,513.5
single,0,recent,0.0,1e-07,0.1,240,11118,2,1,382,,0.0,1.0,41.8
single,0,recent,0.0,1e-07,0.1,240,11086,2,1,645,,0.0,1.0,60.1
single,0,recent,0.0,1e-07,0.1,240,11110,3,1,429,,0.0,1.0,49.3
single,0,recent,0.0,1e-07,0.1,240,11126,1,0,422,,0.0,1.0,48.6
single,0,recent,0.0,1e-07,0.1,240,11134,1,0,309,,0.0,1.0,50.0
