scenario,label,depth,rho,m_flux,inv_freq,sample_size,seed,tree_n_events,call_recurrent,n_sites,error,frac_admix_d,frac_admix_i,secs
single,0,young,0.0,1e-06,0.1,240,10268,1,0,404,,0.0,1.0,37.3
single,0,young,0.0,0.0,0.1,240,10028,1,0,355,,0.0,1.0,44.2
single,0,young,0.0,1e-06,0.1,240,10252,1,0,500,,0.0,1.0,45.5
single,0,young,0.0,1e-07,0.1,240,10180,1,0,298,,0.0,1.0,46.9
single,0,young,0.0,1e-07,0.1,240,10236,1,0,514,,0.0,1.0,47.3
single,0,young,0.0,1e-09,0.1,240,10100,1,0,337,,0.0,1.0,49.9
single,0,young,0.0,1e-08,0.1,240,10124,1,0,291,,0.0,1.0,50.0
single,0,young,0.0,1e-08,0.1,240,10156,1,0,351,,0.0,1.0,50.7
single,0,young,0.0,1e-06,0.1,240,10276,1,0,315,,0.0,1.0,51.8
single,0,young,0.0,1e-08,0.1,240,10148,1,0,320,,0.0,1.0,52.6
single,0,young,0.0,1e-08,0.1,240,10172,1,0,339,,0.0,1.0,53.1
single,0,young,0.0,1e-07,0.1,240,10188,1,0,362,,0.0,1.0,53.1
single,0,young,0.0,1e-06,0.1,240,10260,1,0,318,,0.0,1.0,53.9
single,0,young,0.0,1e-07,0.1,240,10196,1,0,342,,0.0,1.0,54.4
single,0,young,0.0,1e-09,0.1,240,10108,1,0,380,,0.0,1.0,54.9
single,0,young,0.0,1e-09,0.1,240,10084,1,0,415,,0.0,1.0,55.6
single,0,young,0.0,1e-07,0.1,240,10204,1,0,347,,0.0,1.0,55.9
single,0,young,0.0,0.0,0.1,240,10044,1,0,278,,0.0,1.0,56.1
single,0,young,0.0,1e-06,0.1,240,10244,1,0,436,,0.0,1.0,57.1
single,0,young,0.0,1e-09,0.1,240,10060,1,0,391,,0.0,1.0,57.5
single,0,young,0.0,1e-07,0.1,240,10228,1,0,370,,0.0,1.0,58.3
single,0,young,0.0,0.0,0.1,240,10012,1,0,403,,0.0,1.0,58.5
single,0,young,0.0,1e-09,0.1,240,10076,1,0,430,,0.0,1.0,58.6
single,0,young,0.0,1e-07,0.1,240,10220,1,0,416,,0.0,1.0,58.9
single,0,young,0.0,1e-09,0.1,240,10116,1,0,402,,0.0,1.0,59.8
single,0,young,0.0,1e-08,0.1,240,10164,1,0,369,,0.0,1.0,60.3
single,0,young,0.0,0.0,0.1,240,10036,1,0,510,,0.0,1.0,60.4
single,0,young,0.0,1e-09,0.1,240,10092,1,0,364,,0.0,1.0,61.0
single,0,young,0.0,1e-08,0.1,240,10140,1,0,405,,0.0,1.0,61.5
single,0,young,0.0,1e-09,0.1,240,10068,1,0,417,,0.0,1.0,61.9
single,0,young,0.0,0.0,0.1,240,10052,2,1,459,,0.0,1.0,62.4
single,0,young,0.0,1e-06,0.1,240,10284,1,0,526,,0.0,1.0,62.6
single,0,young,0.0,1e-08,0.1,240,10132,1,0,485,,0.0,1.0,64.3
single,0,young,0.0,0.0,0.1,240,10020,1,0,473,,0.0,1.0,65.7
single,0,young,0.0,1e-06,0.1,240,10292,1,0,474,,0.0,1.0,66.3
single,0,young,0.0,1e-07,0.1,240,10212,1,0,443,,0.0,1.0,68.6
single,0,young,0.0,0.0,0.1,240,10004,1,0,487,,0.0,1.0,68.8
